North America,USA,1965,9014,11522
North America,USA,1966,9579,12100
North America,USA,1967,10219,12567
North America,USA,1968,10600,13405
North America,USA,1969,10828,14153
North America,USA,1970,11297,14710
North America,USA,1971,11156,15223
North America,USA,1972,11185,16381
North America,USA,1973,10946,17318
North America,USA,1974,10461,16631
North America,USA,1975,10008,16334
North America,USA,1976,9736,17461
North America,USA,1977,9863,18443
North America,USA,1978,10274,18756
North America,USA,1979,10136,18438
North America,USA,1980,10170,17062
North America,USA,1981,10181,16060
North America,USA,1982,10199,15295
North America,USA,1983,10247,15235
North America,USA,1984,10509,15725
North America,USA,1985,10580,15726
North America,USA,1986,10231,16281
North America,USA,1987,9944,16665
North America,USA,1988,9765,17283
North America,USA,1989,9159,17325
North America,USA,1990,8914,16988
North America,USA,1991,9076,16713
North America,USA,1992,8868,17033
North America,USA,1993,8583,17236
North America,USA,1994,8389,17719
North America,USA,1995,8322,17725
North America,USA,1996,8295,18309
North America,USA,1997,8269,18621
North America,USA,1998,8011,18917
North America,USA,1999,7731,19519
North America,USA,2000,7733,19701
North America,USA,2001,7669,19649
North America,USA,2002,7626,19761
North America,USA,2003,7400,20033
North America,USA,2004,7228,20732
North America,USA,2005,6895,20802
North America,USA,2006,6841,20687
North America,USA,2007,6847,20680
North America,USA,2008,6734,19490
North America,USA,2009,7271,18771
North America,USA,2010,7513,19180
North America,Canada,1965,920,1108
North America,Canada,1966,1012,1167
North America,Canada,1967,1106,1246
North America,Canada,1968,1194,1322
North America,Canada,1969,1306,1380
North America,Canada,1970,1473,1472
North America,Canada,1971,1582,1512
North America,Canada,1972,1829,1589
North America,Canada,1973,2114,1682
North America,Canada,1974,1993,1713
North America,Canada,1975,1735,1682
North America,Canada,1976,1598,1789
North America,Canada,1977,1608,1812
North America,Canada,1978,1597,1849
North America,Canada,1979,1835,1931
North America,Canada,1980,1764,1898
North America,Canada,1981,1610,1788
North America,Canada,1982,1590,1609
North America,Canada,1983,1661,1518
North America,Canada,1984,1775,1540
North America,Canada,1985,1812,1556
North America,Canada,1986,1805,1559
North America,Canada,1987,1908,1627
North America,Canada,1988,2002,1710
North America,Canada,1989,1961,1771
North America,Canada,1990,1967,1747
North America,Canada,1991,1983,1659
North America,Canada,1992,2065,1689
North America,Canada,1993,2189,1697
North America,Canada,1994,2281,1726
North America,Canada,1995,2402,1848
North America,Canada,1996,2479,1889
North America,Canada,1997,2587,1969
North America,Canada,1998,2672,2002
North America,Canada,1999,2604,2061
North America,Canada,2000,2703,2043
North America,Canada,2001,2727,2094
North America,Canada,2002,2858,2172
North America,Canada,2003,3003,2228
North America,Canada,2004,3079,2309
North America,Canada,2005,3040,2288
North America,Canada,2006,3208,2295
North America,Canada,2007,3290,2361
North America,Canada,2008,3207,2315
North America,Canada,2009,3202,2190
North America,Canada,2010,3332,2316
North America,Mexico,1965,362,296
North America,Mexico,1966,370,309
North America,Mexico,1967,411,331
North America,Mexico,1968,439,361
North America,Mexico,1969,461,383
North America,Mexico,1970,487,412
North America,Mexico,1971,486,434
North America,Mexico,1972,506,481
North America,Mexico,1973,525,515
North America,Mexico,1974,653,589
North America,Mexico,1975,806,663
North America,Mexico,1976,894,730
North America,Mexico,1977,1085,755
North America,Mexico,1978,1327,874
North America,Mexico,1979,1607,951
North America,Mexico,1980,2129,1048
North America,Mexico,1981,2553,1172
North America,Mexico,1982,3001,1228
North America,Mexico,1983,2930,1203
North America,Mexico,1984,2942,1280
North America,Mexico,1985,2912,1345
North America,Mexico,1986,2758,1371
North America,Mexico,1987,2879,1421
North America,Mexico,1988,2877,1407
North America,Mexico,1989,2897,1503
North America,Mexico,1990,2940,1580
North America,Mexico,1991,3099,1660
North America,Mexico,1992,3098,1683
North America,Mexico,1993,3115,1687
North America,Mexico,1994,3135,1821
North America,Mexico,1995,3054,1690
North America,Mexico,1996,3270,1720
North America,Mexico,1997,3408,1770
North America,Mexico,1998,3498,1868
North America,Mexico,1999,3351,1887
North America,Mexico,2000,3455,1965
North America,Mexico,2001,3568,1939
North America,Mexico,2002,3592,1864
North America,Mexico,2003,3794,1909
North America,Mexico,2004,3830,1983
North America,Mexico,2005,3765,2030
North America,Mexico,2006,3689,2019
North America,Mexico,2007,3478,2067
North America,Mexico,2008,3165,2054
North America,Mexico,2009,2978,1996
North America,Mexico,2010,2959,2014
Middle East,Iran,1965,1908,134
Middle East,Iran,1966,2132,148
Middle East,Iran,1967,2603,165
Middle East,Iran,1968,2840,184
Middle East,Iran,1969,3376,203
Middle East,Iran,1970,3848,222
Middle East,Iran,1971,4572,245
Middle East,Iran,1972,5059,273
Middle East,Iran,1973,5907,328
Middle East,Iran,1974,6060,381
Middle East,Iran,1975,5387,448
Middle East,Iran,1976,5918,505
Middle East,Iran,1977,5714,590
Middle East,Iran,1978,5302,652
Middle East,Iran,1979,3218,674
Middle East,Iran,1980,1479,591
Middle East,Iran,1981,1321,585
Middle East,Iran,1982,2397,636
Middle East,Iran,1983,2454,772
Middle East,Iran,1984,2043,827
Middle East,Iran,1985,2205,918
Middle East,Iran,1986,2054,843
Middle East,Iran,1987,2342,892
Middle East,Iran,1988,2349,929
Middle East,Iran,1989,2894,1032
Middle East,Iran,1990,3270,1070
Middle East,Iran,1991,3500,1147
Middle East,Iran,1992,3523,1234
Middle East,Iran,1993,3712,1288
Middle East,Iran,1994,3730,1329
Middle East,Iran,1995,3744,1314
Middle East,Iran,1996,3759,1347
Middle East,Iran,1997,3776,1415
Middle East,Iran,1998,3855,1400
Middle East,Iran,1999,3603,1413
Middle East,Iran,2000,3852,1457
Middle East,Iran,2001,3825,1486
Middle East,Iran,2002,3580,1493
Middle East,Iran,2003,4002,1509
Middle East,Iran,2004,4201,1549
Middle East,Iran,2005,4184,1700
Middle East,Iran,2006,4260,1845
Middle East,Iran,2007,4303,1875
Middle East,Iran,2008,4396,1960
Middle East,Iran,2009,4249,2012
Middle East,Iran,2010,4352,1874
Middle East,Iraq,1965,1313,0
Middle East,Iraq,1966,1392,0
Middle East,Iraq,1967,1228,0
Middle East,Iraq,1968,1503,0
Middle East,Iraq,1969,1521,0
Middle East,Iraq,1970,1549,0
Middle East,Iraq,1971,1694,0
Middle East,Iraq,1972,1466,0
Middle East,Iraq,1973,2018,0
Middle East,Iraq,1974,1977,0
Middle East,Iraq,1975,2271,0
Middle East,Iraq,1976,2422,0
Middle East,Iraq,1977,2358,0
Middle East,Iraq,1978,2574,0
Middle East,Iraq,1979,3489,0
Middle East,Iraq,1980,2658,0
Middle East,Iraq,1981,907,0
Middle East,Iraq,1982,988,0
Middle East,Iraq,1983,1106,0
Middle East,Iraq,1984,1228,0
Middle East,Iraq,1985,1425,0
Middle East,Iraq,1986,1899,0
Middle East,Iraq,1987,2391,0
Middle East,Iraq,1988,2782,0
Middle East,Iraq,1989,2838,0
Middle East,Iraq,1990,2149,0
Middle East,Iraq,1991,285,0
Middle East,Iraq,1992,531,0
Middle East,Iraq,1993,455,0
Middle East,Iraq,1994,505,0
Middle East,Iraq,1995,530,0
Middle East,Iraq,1996,580,0
Middle East,Iraq,1997,1166,0
Middle East,Iraq,1998,2121,0
Middle East,Iraq,1999,2610,0
Middle East,Iraq,2000,2613,0
Middle East,Iraq,2001,2522,0
Middle East,Iraq,2002,2116,0
Middle East,Iraq,2003,1344,0
Middle East,Iraq,2004,2030,0
Middle East,Iraq,2005,1833,0
Middle East,Iraq,2006,1999,0
Middle East,Iraq,2007,2143,0
Middle East,Iraq,2008,2428,0
Middle East,Iraq,2009,2452,0
Middle East,Iraq,2010,2490,0
Middle East,Israel,1965,0,81
Middle East,Israel,1966,0,84
Middle East,Israel,1967,0,88
Middle East,Israel,1968,0,92
Middle East,Israel,1969,0,96
Middle East,Israel,1970,0,100
Middle East,Israel,1971,0,104
Middle East,Israel,1972,0,108
Middle East,Israel,1973,0,116
Middle East,Israel,1974,0,118
Middle East,Israel,1975,0,122
Middle East,Israel,1976,0,129
Middle East,Israel,1977,0,136
Middle East,Israel,1978,0,145
Middle East,Israel,1979,0,160
Middle East,Israel,1980,0,157
Middle East,Israel,1981,0,160
Middle East,Israel,1982,0,155
Middle East,Israel,1983,0,147
Middle East,Israel,1984,0,138
Middle East,Israel,1985,0,132
Middle East,Israel,1986,0,137
Middle East,Israel,1987,0,153
Middle East,Israel,1988,0,168
Middle East,Israel,1989,0,172
Middle East,Israel,1990,0,177
Middle East,Israel,1991,0,182
Middle East,Israel,1992,0,193
Middle East,Israel,1993,0,198
Middle East,Israel,1994,0,220
Middle East,Israel,1995,0,248
Middle East,Israel,1996,0,248
Middle East,Israel,1997,0,245
Middle East,Israel,1998,0,261
Middle East,Israel,1999,0,278
Middle East,Israel,2000,0,279
Middle East,Israel,2001,0,260
Middle East,Israel,2002,0,260
Middle East,Israel,2003,0,265
Middle East,Israel,2004,0,250
Middle East,Israel,2005,0,256
Middle East,Israel,2006,0,249
Middle East,Israel,2007,0,257
Middle East,Israel,2008,0,252
Middle East,Israel,2009,0,237
Middle East,Israel,2010,0,234
Middle East,Kuwait,1965,2371,104
Middle East,Kuwait,1966,2505,101
Middle East,Kuwait,1967,2522,98
Middle East,Kuwait,1968,2656,94
Middle East,Kuwait,1969,2819,92
